,Price,year,month,day
234,2.4499999999999993,1997,12,10
235,2.299999999999999,1997,12,11
236,2.299999999999999,1997,12,12
237,2.25,1997,12,15
238,2.2899999999999996,1997,12,16
239,2.3799999999999994,1997,12,17
240,2.3699999999999997,1997,12,18
241,2.39,1997,12,19
242,2.3600000000000017,1997,12,22
243,2.2399999999999993,1997,12,23
244,2.0599999999999996,1997,12,24
245,2.1799999999999997,1997,12,26
246,2.3299999999999983,1997,12,29
247,2.27,1997,12,30
248,2.27,1997,12,31
249,2.16,1998,1,2
250,2.0500000000000007,1998,1,5
251,2.16,1998,1,6
252,2.13,1998,1,7
253,2.109999999999999,1998,1,8
254,2.0899999999999994,1998,1,9
255,2.0100000000000002,1998,1,12
256,2.0300000000000002,1998,1,13
257,2.0500000000000007,1998,1,14
258,2.0699999999999994,1998,1,15
259,2.109999999999999,1998,1,16
260,2.1199999999999988,1998,1,20
261,2.0899999999999994,1998,1,21
262,2.1,1998,1,22
263,2.140000000000001,1998,1,23
264,2.0899999999999994,1998,1,26
265,2.0599999999999996,1998,1,27
266,2.0899999999999994,1998,1,28
267,2.0699999999999994,1998,1,29
268,2.0899999999999994,1998,1,30
269,2.230000000000001,1998,2,2
270,2.27,1998,2,3
271,2.230000000000001,1998,2,4
272,2.31,1998,2,5
273,2.3500000000000005,1998,2,6
274,2.25,1998,2,9
275,2.1799999999999997,1998,2,10
276,2.21,1998,2,11
277,2.1999999999999997,1998,2,12
278,2.2199999999999998,1998,2,13
279,2.1799999999999997,1998,2,17
280,2.19,1998,2,18
281,2.2199999999999998,1998,2,19
282,2.1999999999999997,1998,2,20
283,2.1999999999999997,1998,2,23
284,2.19,1998,2,24
285,2.21,1998,2,25
286,2.2799999999999994,1998,2,26
287,2.230000000000001,1998,2,27
288,2.2600000000000002,1998,3,2
289,2.2399999999999993,1998,3,3
290,2.19,1998,3,4
291,2.1199999999999988,1998,3,5
292,2.1,1998,3,6
293,2.1699999999999995,1998,3,9
294,2.25,1998,3,10
295,2.25,1998,3,11
296,2.230000000000001,1998,3,12
297,2.21,1998,3,13
298,2.1999999999999997,1998,3,16
299,2.1999999999999997,1998,3,17
300,2.21,1998,3,18
301,2.25,1998,3,19
302,2.2799999999999994,1998,3,20
303,2.3299999999999983,1998,3,23
304,2.2899999999999996,1998,3,24
305,2.3299999999999983,1998,3,25
306,2.2899999999999996,1998,3,26
307,2.2600000000000002,1998,3,27
308,2.32,1998,3,30
309,2.34,1998,3,31
310,2.4499999999999993,1998,4,1
311,2.4299999999999984,1998,4,2
312,2.51,1998,4,3
313,2.51,1998,4,6
314,2.51,1998,4,7
315,2.6499999999999986,1998,4,8
316,2.610000000000001,1998,4,9
317,2.520000000000001,1998,4,13
318,2.420000000000001,1998,4,14
319,2.48,1998,4,15
320,2.48,1998,4,16
321,2.3999999999999986,1998,4,17
322,2.3999999999999986,1998,4,20
323,2.4599999999999995,1998,4,21
324,2.4599999999999995,1998,4,22
325,2.3500000000000005,1998,4,23
326,2.31,1998,4,24
327,2.2899999999999996,1998,4,27
328,2.27,1998,4,28
329,2.2899999999999996,1998,4,29
330,2.1799999999999997,1998,4,30
331,2.109999999999999,1998,5,1
332,2.1,1998,5,4
333,2.19,1998,5,5
334,2.1199999999999988,1998,5,6
335,2.16,1998,5,7
336,2.109999999999999,1998,5,8
337,2.19,1998,5,11
338,2.230000000000001,1998,5,12
339,2.2399999999999993,1998,5,13
340,2.1799999999999997,1998,5,14
341,2.1799999999999997,1998,5,15
342,2.19,1998,5,18
343,2.1699999999999995,1998,5,19
344,2.1799999999999997,1998,5,20
345,2.109999999999999,1998,5,21
346,2.0200000000000005,1998,5,22
347,2.1,1998,5,26
348,2.1,1998,5,27
349,2.04,1998,5,28
350,2.1,1998,5,29
351,2.1,1998,6,1
352,2.1999999999999997,1998,6,2
353,2.13,1998,6,3
354,2.04,1998,6,4
355,2.0100000000000002,1998,6,5
356,2.0,1998,6,8
357,2.0100000000000002,1998,6,9
358,1.9800000000000002,1998,6,10
359,1.990000000000001,1998,6,11
360,2.0100000000000002,1998,6,12
361,2.079999999999999,1998,6,15
362,2.1,1998,6,16
363,2.0500000000000007,1998,6,17
364,2.140000000000001,1998,6,18
365,2.1999999999999997,1998,6,19
366,2.3500000000000005,1998,6,22
367,2.3500000000000005,1998,6,23
368,2.3999999999999986,1998,6,24
369,2.39,1998,6,25
370,2.3999999999999986,1998,6,26
371,2.3600000000000017,1998,6,29
372,2.39,1998,6,30
373,2.4599999999999995,1998,7,1
374,2.3600000000000017,1998,7,2
375,2.3799999999999994,1998,7,6
376,2.3500000000000005,1998,7,7
377,2.39,1998,7,8
378,2.3799999999999994,1998,7,9
379,2.32,1998,7,10
380,2.299999999999999,1998,7,13
381,2.230000000000001,1998,7,14
382,2.21,1998,7,15
383,2.1499999999999986,1998,7,16
384,2.1499999999999986,1998,7,17
385,2.1799999999999997,1998,7,20
386,2.0899999999999994,1998,7,21
387,2.0,1998,7,22
388,2.0,1998,7,23
389,1.97,1998,7,24
390,2.0,1998,7,27
391,1.97,1998,7,28
392,1.990000000000001,1998,7,29
393,1.95,1998,7,30
394,1.8500000000000005,1998,7,31
395,1.8399999999999992,1998,8,3
396,1.8999999999999997,1998,8,4
397,1.9099999999999997,1998,8,5
398,1.8500000000000005,1998,8,6
399,1.8199999999999998,1998,8,7
400,1.8700000000000003,1998,8,10
401,1.8700000000000003,1998,8,11
402,1.8500000000000005,1998,8,12
403,1.8300000000000003,1998,8,13
404,1.8300000000000003,1998,8,14
405,1.9300000000000002,1998,8,17
406,1.939999999999999,1998,8,18
407,1.959999999999999,1998,8,19
408,1.8999999999999997,1998,8,20
409,1.9300000000000002,1998,8,21
410,1.8999999999999997,1998,8,24
411,1.8899999999999997,1998,8,25
412,1.8300000000000003,1998,8,26
413,1.7599999999999996,1998,8,27
414,1.6600000000000001,1998,8,28
415,1.6099999999999997,1998,8,31
416,1.8399999999999992,1998,9,1
417,1.719999999999999,1998,9,2
418,1.7100000000000002,1998,9,3
419,1.7100000000000002,1998,9,4
420,1.8099999999999994,1998,9,8
421,1.7800000000000005,1998,9,9
422,1.88,1998,9,10
423,1.8599999999999988,1998,9,11
424,1.8599999999999988,1998,9,14
425,1.939999999999999,1998,9,15
426,2.1499999999999986,1998,9,16
427,2.1199999999999988,1998,9,17
428,2.27,1998,9,18
429,2.1799999999999997,1998,9,21
430,2.2899999999999996,1998,9,22
431,2.19,1998,9,23
432,2.1699999999999995,1998,9,24
433,2.3799999999999994,1998,9,25
434,2.230000000000001,1998,9,28
435,2.0599999999999996,1998,9,29
436,2.2199999999999998,1998,9,30
437,2.3299999999999983,1998,10,1
